:0 청태 | :11 니나* | :0 청황 | :0 청중 |  | :0 청태 나니나 | :0 청황 |  |  | :0 청황 니나 |  | :0 같은음표 니레 
 :0 청태 니레 | :11 청황 | :0 남 | :0 임 | :11 청황 | :10 남 :15 노 | :0 청황 |  |  | :0 청황 니나 |  | :0 - 흘림표 
 :0 남 | :14 청황 :15 청고 | :0 청태 | :0 청태 니레 | :11 청황 | :0 청고 | :0 청태 | :11 청황 | :10 청고 :15 노 | :0 청황 | :10 - 미는표 :11 청태 | :0 남 
 :0 청태 니레 |  | :10 청고 :11 느니 | :0 청임 떠이어표 |  |  |  |  |  |  |  |  
 :0 청남 노네 |  |  | :0 청임 |  | :0 같은음표 니레 흘림표 | :0 청고 |  | :0 청임 | :0 청임 니레 |  | :0 청고 
 :0 청임 |  | :11 청고 | :0 청남 | :11 중청황 | :10 청남 :15 청임 | :0 청고 |  | :0 청남 | :0 청임 미는표 | :0 청남 | :0 청고 
 :0 중청황 |  | :0 청남 | :0 청남 니레 | :11 중청황 | :10 청남 :15 청임 | :0 청고 |  | :0 청남 |  |  | :0 같은음표 니레 
 :0 청임 | :11 청남 | :0 청고 | :0 청남 | :11 청임 | :0 청고 | :0 청고 니레 | :11 청태 | :10 청고 :15 노 | :0 청황 | :11 청고 | :10 청태 :15 노 
 :0 남 | :14 청황 :15 청고 | :0 청태 | :0 청태 니레 | :11 청황 | :0 청고 | :0 청태 |  | :10 청고 니레 :15 청태 | :10 청황 :11 남 |  | :0 청황 
 :0 청태 니레 | :11 청고 | :0 느니 | :0 청임 떠이어표 |  |  |  |  |  |  |  |  
 :0 남 |  | :0 청황 | :0 청태 니레 | :11 청황 | :0 청고 느니-르 | :0 청황 |  | :0 같은음표 니레 | :0 청고 |  | :0 청태 
 :0 청황 니나 |  |  |  |  |  | :0 청황 |  | :0 청고 | :0 청황 |  | :0 같은음표 니나 
 :0 청임 | :11 청고 | :0 청임 | :0 청남 |  | :0 같은음표 흘림표 | :0 청임 | :11 청고 | :0 청임 | :0 청남 |  | :0 같은음표 흘림표 
 :0 청임 | :11 청고 | :0 청임 | :0 청남 |  | :0 청임 | :0 청고 |  | :0 청남 | :0 청임 | :11 청남 | :0 청고 
 :0 청임 |  | :0 청고 | :0 청남 | :11 중청황 | :10 청남 :15 청임 | :0 청고 |  | :0 청남 | :0 청임 | :10 - 미는표 :11 청남 | :0 청고 
 :0 중청황 |  | :0 청남 | :0 청남 니레 | :11 중청황 | :10 청남 :15 청임 | :0 청고 |  | :0 청남 |  |  | :0 같은음표 니레 
 :0 청임 | :15 니 | :0 청고 | :0 청남 | :11 청임 | :0 청고 | :0 청고 | :11 청태 | :10 청고 :15 노 | :0 청황 | :11 청고 | :10 청태 :15 노 
 :0 남 | :14 청황 :15 청고 | :0 청태 | :0 청태 니레 | :11 청황 | :0 청고 | :0 청태 | :15 청임 | :10 청고 :15 청태 | :10 청황 :11 남 |  | :0 청황 
 :0 청태 니레 | :11 청고 | :0 느니 | :0 청임 떠이어표 |  |  | :0 청임 |  | :0 청고 | :10 청임 :11 청남 | :11 중청황 | :10 청남 :15 노 
 :0 청고 |  | :0 청태 | :10 청황 :11 남 |  |  | :0 청고 |  | :0 같은음표 | :0 청태 |  | :0 청고 니레 
 :10 청임 떠이어표 :11 청남 니레 |  |  |  | :11 청임 | :10 청고 :15 노 | :0 청황 |  | :0 같은음표 니나 | :0 청고 | :11 청태 노니로 | :0 청고 
 :0 남 | :11 청황 | :0 남 | :0 임 | :15 청황 | :0 남 | :0 청황 | :14 청태 :15 남 | :0 청황 | :0 청태 니레 | :11 청고 | :10 청태 :15 노 
 :0 남 | :11 청황 | :0 남 | :0 임 | :15 청황 | :0 남 | :0 청태 나니로 |  |  |  | :11 청황 | :0 남 
 :0 청태 |  |  |  |  | :0 청고 | :0 청고 니레 |  | :0 청태 | :10 청황 :11 남 |  |  
 :0 청태 나니로 |  |  |  |  | :0 청고 | :0 청임 |  | :10 청남 :11 청임 | :10 청고 :11 청태 |  |  
 :10 청임 떠이어표 :11 청남 니레 |  |  |  | :11 청임 | :0 청고 | :0 청태 |  | :10 청고 :11 청태 | :10 청황 :11 남 노니로 |  |  
 :10 청임 떠이어표 :11 청남 니레 |  |  |  | :11 청임 | :0 청고 | :0 청태 |  | :10 청고 :15 청임 | :10 청고 :11 청태 | :10 청황 :11 남 노니로 |  
 :0 청고 |  |  | :0 남 | :11 청황 | :0 남 | :0 임 | :15 청황 | :0 남 | :0 청황 | :14 청태 :15 남 | :0 청황 
 :0 청태 니레 | :11 청고 | :0 청태 | :0 청태 니레 | :11 청임 | :0 청고 | :0 청태 | :11 청임 | :10 청고 :15 청태 | :10 청황 :11 남 |  | :0 청황 
 :0 청태 니레 | :11 청고 | :0 느니 | :0 청임 떠이어표 |  |  |  |  |  |  |  |  
 :0 남 |  | :0 청황 | :0 청태 니레 | :11 청황 | :0 청고 느니-르 | :0 청황 |  |  |  |  |  
 :0 청황 |  |  |  |  |  | :0 청황 |  |  | :0 청황 니나 |  | :0 청고 
 :0 청황 |  |  |  |  |  | :0 청황 |  |  | :0 청황 니나 | :11 니나* | :10 임 니레 :11 니나* 
 :0 청황 |  |  |  |  |  | :0 청황 |  |  | :0 청황 니나 |  | :0 청고 
 :0 청황 |  |  |  |  |  | :0 청황 |  |  | :0 청황 니나 | :11 니나* | :10 임 니레 :11 니나* 
 :0 청황 |  |  |  |  |  | :0 청황 |  |  | :0 청황 니나 |  | :0 청고 
 :0 청황 |  | :0 청고 | :0 청황 |  | :0 청고 | :0 청황 | :11 청태 니레 | :0 청황 나니나 | :0 남 | :11 임 | :0 고 
 :0 남 |  | :0 청황 | :0 청태 니레 |  |  |  |  |  |  |  |  
 :0 청태 | :11 니나* | :10 청고 :15 청태 | :0 청황 |  | :0 청태 니레 | :0 청임 |  | :10 청남 :15 청임 | :0 청고 | :11 노라 | :0 청고 느니-르 
 :0 청황 |  |  |  |  |  | :0 청황 | :10 청태 :11 청황 | :10 남 :11 임 | :0 청태 | :10 청황 :11 청고 | :10 청태 :11 청황 
 :0 임 |  | :10 남 :11 임 | :0 청황 |  | :0 같은음표 나니나 | :0 임 | :11 니나* | :0 청황 | :0 남 | :11 노 | :0 고 
 :0 청태 | :11 청고 | :0 느니 | :0 청임 떠이어표 |  |  |  |  |  |  |  |  
 :0 청태 |  | :10 청고 :15 청태 | :0 청임 |  | :0 같은음표 니레 | :0 청고 |  | :0 청임 | :0 청임 니레 |  | :0 청고 
 :0 청임 |  | :11 청고 | :0 청남 | :11 중청황 | :10 청남 :15 청임 | :0 청고 |  | :0 청남 | :0 청임 미는표 | :0 청남 | :0 청고 
 :0 중청황 |  | :0 청남 | :0 청남 | :11 중청황 | :10 청남 :15 청임 | :0 청고 |  | :0 청남 |  |  | :0 같은음표 니레 
 :0 청임 | :11 청남 | :0 청고 | :0 청남 | :11 청임 | :0 청고 | :0 청고 | :11 청태 | :0 청고 | :0 청황 | :11 청고 | :10 청태 :15 청황 
 :0 남 | :14 청황 :15 청고 | :0 청태 | :0 청태 니레 | :11 청황 | :0 청고 | :0 청태 | :15 청임 | :10 청고 :15 청태 | :10 청황 :11 남 |  | :0 청황 
 :0 청태 니레 | :11 청고 | :0 느니 | :0 청임 떠이어표 |  |  |  |  |  |  |  | :0 쉼표

:0 태 |  | :0 황 | :0 중 | :0 - 미는표 | :0 태 | :0 황 |  |  | :0 황 니나 |  |  
 :0 태 | :11 황 | :0 배남 | :0 배임 | :11 황 | :0 배남 | :0 황 |  |  | :0 황 니나 |  |  
 :0 배남 | :0 - 루러표 | :0 태 | :0 태 |  | :0 고 니레 흘림표 | :0 태 | :11 황 | :0 고 미는표 | :0 황 | :9 니 | :0 배남 
 :0 태 니레 |  | :0 고 | :0 임 서침표 |  |  |  |  |  |  |  | :0 쉼표 
